,Unnamed: 0,numChapter,Chapter,numSubChapter,subChapter,Type,numSubTitle,subTitle,content,Ref,PMI_content,PMI_chapter,PMI_subtitle
21,21,11.2,11.2 IDENTIFY RISKS,11.2.3,11.2 IDENTIFY RISKS OUTPUTS,OUTPUTS,11.2.3.1 Risk register,11.2.3,risk gister risk register captures details identiﬁed individual project risks results perform qualitative risk analysis plan risk responses implement risk responses monitor risks recorded risk register processes conducted throughout project risk register may contain limited extensive risk information depending project variables size complexity completion identify risks process content risk register may include limited uulist identified risks individual project risk given unique identiﬁer risk register identiﬁed risks described much detail required ensure unambiguous understanding structured risk statement may used distinguish risks causes effects uupotential risk owners potential risk owner identiﬁed identify risks process risk owner recorded risk register conﬁrmed perform qualitative risk analysis process uulist potential risk responses potential risk response identiﬁed identify risks process recorded risk register conﬁrmed plan risk responses process additional data may recorded identiﬁed risk depending risk register format speciﬁed risk management plan may include short risk title risk category current risk status one causes one effects objectives risk triggers events conditions indicate risk occur wbs reference affected activities timing information risk identiﬁed might risk occur might longer relevant deadline taking action part guide,[],purpose objectives perform qualitative risk analysis process perform qualitative risk analysis process assesses evaluates characteristics individually identiﬁ ed project risks prioritizes risks based agreedupon characteristics assessing individual risks using qualitative risk analysis evaluates probability risk occur effect individual risk project objectives directly address overall risk project objectives results combined effect risks potential interactions however achieved use quantitative risk analysis techniques see chapter one step analysis categorize risks according sources causes several risks arise common source sometimes called root cause risk responses may effective focus addressing root cause identifying common effects groups risks allows identiﬁ cation areas greatest risk exposure eg project completion date budget particular deliverables scope facilitating risk response focus areas methods qualitative risk analysis applied list risks created updated identify risks process provide project management characteristics risks inﬂ uence positive negative achieving projects objectives risks assessed high priority either threaten enhance achievement project objectives important focus plan risk responses process may analyzed analysis overall project risk discussed perform quantitative risk analysis process critical success factors perform qualitative risk analysis process,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.1 Purpose and Objectives of the Perform Qualitative Risk Analysis Process
22,22,11.2,11.2 IDENTIFY RISKS,11.2.3,11.2 IDENTIFY RISKS OUTPUTS,OUTPUTS,11.2.3.2 Risk report,11.2.3,risk rep ort risk report presents information sources overall project risk together summary information identiﬁed individual project risks risk report developed progressively throughout project risk management process results perform qualitative risk analysis perform quantitative risk analysis plan risk responses implement risk responses monitor risks also included risk report processes completed completion identify risks process information risk report may include limited uusources overall project risk indicating important drivers overall project risk exposure uusummary information identiﬁed individual project risks number identiﬁed threats opportunities distribution risks across risk categories metrics trends etc additional information may included risk report depending reporting requirements speciﬁed risk management plan,[],purpose objectives perform qualitative risk analysis process perform qualitative risk analysis process assesses evaluates characteristics individually identiﬁ ed project risks prioritizes risks based agreedupon characteristics assessing individual risks using qualitative risk analysis evaluates probability risk occur effect individual risk project objectives directly address overall risk project objectives results combined effect risks potential interactions however achieved use quantitative risk analysis techniques see chapter one step analysis categorize risks according sources causes several risks arise common source sometimes called root cause risk responses may effective focus addressing root cause identifying common effects groups risks allows identiﬁ cation areas greatest risk exposure eg project completion date budget particular deliverables scope facilitating risk response focus areas methods qualitative risk analysis applied list risks created updated identify risks process provide project management characteristics risks inﬂ uence positive negative achieving projects objectives risks assessed high priority either threaten enhance achievement project objectives important focus plan risk responses process may analyzed analysis overall project risk discussed perform quantitative risk analysis process critical success factors perform qualitative risk analysis process,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.1 Purpose and Objectives of the Perform Qualitative Risk Analysis Process
23,23,11.2,11.2 IDENTIFY RISKS,11.2.3,11.2 IDENTIFY RISKS OUTPUTS,OUTPUTS,11.2.3.3 Project documents updates,11.2.3,project docum ents upda tes project documents may updated result process include limited uuassumption log described section identify risks process new assumptions may made new constraints may identiﬁed existing assumptions constraints may revisited changed assumption log updated new information uuissue log described section issue log updated capture new issues uncovered changes currently logged issues uulessons learned register described section lessons learned register updated information techniques effective identifying risks improve performance later phases projectsperform qualitative risk analysis establishes relative priorities individual project risks plan risk responses identiﬁes risk owner risk take responsibility planning appropriate risk response ensuring implemented perform qualitative risk analysis also lays foundation perform quantitative risk analysis process required perform qualitative risk analysis process performed regularly throughout project life cycle deﬁned risk management plan often agile development environment perform qualitative risk analysis process conducted start iteration perf orm qualit ative risk naly sis inpu ts,"['Section 4.1.3.2.', 'Section 4.3.3.3.', 'Section 4.4.3.1.']",iterative process nature projects circumstances change planned executed amount information available risks usually increase time goes risks occur others new risks arise discovered characteristics already identiﬁ ed may change result project risk management processes repeated corresponding plans progressively elaborated throughout lifetime project ensure project risk management remains effective identiﬁ cation analysis risks revisited periodically progress risk response actions monitored action plans adjusted accordingly external circumstances change signiﬁ cantly may also necessary revisit risk management planning process development initial risk management plan risk assessment start process end frequency depth reviews updates depend nature project volatility environment project implemented timing project management reviews updates communication,CHAPTER 2  -  PRINCIPLES AND CONCEPTS,2.5 Iterative Process
24,24,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.1 Project management plan,11.3.1,project managem ent plan described section project management plan components include risk management plan described section particular interest process roles responsibilities conducting risk management budgets risk management schedule activities risk management risk categories often deﬁned risk breakdown structure deﬁnitions probability impact probability impact matrix stakeholders risk thresholds inputs usually tailored project plan risk management process available may developed perform qualitative risk analysis process presented project sponsor approval use,"['Section 4.2.3.1.', 'Section 11.1.3.1']",documenting results plan risk management process results risk management planning documented risk management plan plan serves provide project stakeholders common view riskrelated activities project handled agreed upon description stakeholders involvement responsibilities activities overview key areas focus given figure figure key areas focus plan risk management process depending upon size complexity project following elements present risk management plan introduction project description risk management methodology risk management organization roles responsibilities authority stakeholder risk tolerance criteria success risk management tools guidelines use thresholds corresponding deﬁ nitions templates communications plan strategy risk breakdown structure chapter,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.4 Documenting the Results of the Plan Risk Management Process
25,25,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.2 Project documents,11.3.1,project docum ents project documents considered inputs process include limited uuassumption log described section assumption log used identifying managing monitoring key assumptions constraints may affect project may inform assessment priority individual project risks uurisk register described section risk register contains details identiﬁed individual project risk assessed perform qualitative risk analysis process uustakeholder register described section includes details project stakeholders may nominated risk owners part guide,"['Section 4.1.3.2.', 'Section 11.2.3.1', 'Section 13.1.3.1']",document results perform qualitative risk analysis process perform qualitative risk analysis process adds structure list undifferentiated risks see identify risks chapter categories priority priorities usually based risks probability occurring potential impact speciﬁ c project objectives whole project identiﬁ ed risk assigned priority perhaps objective entire project information usually stored risk register easy use update new information risk register list prioritized risks posted project participants responsible analysis action improve project plan risks judged high priority segregated analysis response planning generally monitored frequently risks low priority project may placed watch list reviewed less often changes status chapter,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.6 Document the Results of the Perform Qualitative Risk Analysis Process
26,26,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.3 Enterprise environmental factors,11.3.1,enterpr ise environm ental factors enterprise environmental factors inﬂuence perform qualitative risk analysis include limited uuindustry studies similar projects uupublished material including commercial risk databases checklists,[],use agreedupon deﬁ nitions risk terms risk assessment based agreedupon deﬁ nitions important terms deﬁ nitions used consistently assessing risk use deﬁ nitions example levels probability impact objectives assists providers information giving realistic assessments risk facilitates communication results management stakeholders chapter perform qualitative risk analysis collect highquality information risks,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.2 Use Agreed-Upon Deﬁ nitions of Risk Terms
27,27,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.1,11.3 PERFORM QUALITATIVE RISK ANALYSIS INPUTS,INPUTS,11.3.1.4 Organizational process assets,11.3.1,organizational proce ss asse ts organizational process assets inﬂuence perform qualitative risk analysis include limited information similar completed projects perf orm qualit ative risk naly sis ls tec hniques,[],tracking trigger conditions trigger conditions corresponding metrics deﬁ ned plan risk responses process tools required evaluate track conditions project baseline speciﬁ ed thresholds based actual status chosen provide information risks related deliverables performance well projectrelated features time cost tracking overall risk,CHAPTER 9  -  MONITOR AND CONTROL RISKS,9.3.2 Tracking Trigger Conditions
28,28,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.1 Expert judgment,11.3.2,exper judgment described section expertise considered individuals groups specialized knowledge training following topics uuprevious similar projects uuqualitative risk analysis expert judgment often obtained facilitated risk workshops interviews possibility expert views biased taken account process,['Section 4.1.2.1.'],collect analyze data assessment individual risks based information collected therefore data collection evaluation tools including interviews workshops references databases prior projects require management support attention important protect bias data gathering important relying expert judgment information prioritize risks probability impact speciﬁ c objectives,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.2 Collect and Analyze Data
29,29,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.2 Data gathering,11.3.2,data ga thering dataga thering techniques used process include limited interviews structured semistructured interviews section used assess probability impacts individual project risks well factors interviewer promote environment trust conﬁdentiality interview setting encourage honest unbiased assessments,['Section 5.2.2.2)'],collect highquality information risks collection highquality information risks required often information available historic database gathered interviews workshops means using expert judgment data gathered individuals may subject reporting intentional bias occurs bias identiﬁ ed remedied possible different unbiased source information found used perform iterative qualitative risk analysis,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.3 Collect High-Quality Information about Risks
30,30,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.3 Data analysis,11.3.2,data analy sis data analysis techniques used process include limited uurisk data quality assessment risk data quality assessment evaluates degree data individual project risks accurate reliable basis qualitative risk analysis use lowquality risk data may lead qualitative risk analysis little use project data quality unacceptable may necessary gather better data risk data quality may assessed via questionnaire measuring projects stakeholder perceptions various characteristics may include completeness objectivity relevancy timeliness weighted average selected data quality characteristics generated give overall quality score uurisk probability impact assessment risk probability assessment considers likelihood speciﬁc risk occur risk impact assessment considers potential effect one project objectives schedule cost quality performance impacts negative threats positive opportunities probability impact assessed identiﬁed individual project risk risks assessed interviews meetings participants selected familiarity types risk recorded risk register project team members knowledgeable persons external project included level probability risk impact objective evaluated interview meeting differences levels probability impact perceived stakeholders expected differences explored explanatory detail including assumptions justifying levels assigned also recorded risk probabilities impacts assessed using deﬁnitions given risk management plan see table risks low probability impact may included within risk register part watch list future monitoring uuassessment risk parameters project team may consider characteristics risk addition probability impact prioritizing individual project risks analysis action characteristics may include limited part guideu nurgency period time within response risk implemented order effective short period indicates high urgency u nproximity period time risk might impact one project objectives short period indicates high proximity u ndormancy period time may elapse risk occurred impact discovered short period indicates low dormancy u nmanageability ease risk owner owning organization manage occurrence impact risk management easy manageability high u ncontrollability degree risk owner owning organization able control risks outcome outcome easily controlled controllability high u ndetectability ease results risk occurring occur detected recognized risk occurrence detected easily detectability high u nconnectivity extent risk related individual project risks risk connected many risks connectivity high u nstrategic impact potential risk positive negative effect organizations strategic goals risk major effect strategic goals strategic impact high u npropinquity degree risk perceived matter one stakeholders risk perceived signiﬁcant propinquity high consideration characteristics provide robust prioritization risks possible assessing probability impact,[],purpose objectives perform quantitative risk analysis process perform quantitative risk analysis process provides numerical estimate overall effect risk objectives project based current plans information considering risks simultaneously results type analysis used evaluate likelihood success achieving project objectives estimate contingency reserves usually time cost appropriate risks risk tolerance project stakeholders generally accepted analyzing uncertainty project using quantitative techniques monte carlo simulation may provide realism estimate overall project cost schedule nonprobabilistic approach assumes activity durations lineitem cost estimates deterministic however recognized quantitative risk analysis always required appropriate projects example qualitative risk analysis may provide enough information development effective risk responses especially smaller projects therefore plan risk management process beneﬁ ts quantitative risk analysis weighed effort required ensure additional insights value justify additional effort partial risk analyses qualitative risk analysis aim prioritizing individual risks viewed one time therefore cannot produce measures overall project risk risks considered simultaneously calculating estimates overall project risk focus perform quantitative risk analysis process speciﬁ c project risks usually best understood quantiﬁ ed detailed level lineitem cost schedule activity level contrast project objectives achievement projects budget schedule speciﬁ ed higher level often level total project overall risk analysis one uses quantitative techniques estimates implication quantiﬁ ed risks project objectives implementation overall risk analysis using quantitative methods requires complete accurate representation project objectives built individual project elements examples representations include project schedule cost estimate identifying risks individual project elements schedule activities lineitem costs level detail lends speciﬁ c assessment individual risks including generic risks broader effect individual project elements applying quantitative method monte carlo simulation decision tree analysis incorporates multiple risks simultaneously determining overall impact overall project objective chapter perform quantitative risk analysis results quantitative analysis compared project plan baseline current give management estimate overall project risk answer important questions probability meeting projects objectives much contingency reserve eg reserves buffers time resources cost needed provide organization level certainty requires based upon risk tolerance parts project lineitem costs schedule activities contribute risk risks considered simultaneously individual risks contribute overall project risk estimating overall project risk using quantitative methods helps distinguish projects quantiﬁ ed risks threaten objectives beyond tolerance stakeholders objectives within acceptable tolerances even risk considered former may targeted vigorous risk responses aimed protecting objectives important stakeholders highlevel comparison quantitative qualitative risk analysis processes presented figure figure comparison qualitative quantitative approaches critical success factors perform quantitative risk analysis process,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.1 Purpose and Objectives of the Perform Quantitative Risk Analysis Process
31,31,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.4 Interpersonal and team skills,11.3.2,int erpersonal team kills interpersonal team skills used process include limited facilitation see section facilitation improves effectiveness qualitative analysis individual project risks skilled facilitator help participants remain focused risk analysis task follow method associated technique accurately reach consensus assessments probability impacts identify overcome sources bias resolve disagreements may arise,[],critical success factors perform qualitative risk analysis process several factors lead successful qualitative risk analysis described sections summarized figure agreement project stakeholders fundamental criterion common theme agreedupon approach foundation process credibility agreedupon deﬁ nitions enable highquality information collected finally conditions place process executed reliably contributes credibility outputs chapter perform qualitative risk analysis figure building risk analysis credibility use agreedupon approach,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2 Critical Success Factors for the Perform Qualitative Risk Analysis Process
32,32,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.5 Risk categorization,11.3.2,risk ca tegorization risks project categorized sources risk eg using risk breakdown structure rbs see useful categories eg project phase project budget roles responsibilities determine areas project exposed effects uncertainty risks also categorized common root causes risk categories may used project deﬁned risk management plan grouping risks categories lead development effective risk responses focusing attention effort areas highest risk exposure developing generic risk responses address groups related risks,[],risks linked project objectives identiﬁ ed project risk relate least one project objective time cost quality scope etc noting pmbok guide deﬁ nes risk uncertain event condition occurs positive negative effect projects objectives consideration project objective identify risks process assist identifying risks noting risks may affect one objective complete risk statement,CHAPTER 5  -  IDENTIFY RISKS,5.2.7 Risks Linked to Project Objectives
33,33,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.6 Data representation matrix,11.3.2,data representa tion data representation techniques used process include limited uuprobability impact matrix probability impact matrix grid mapping probability risk occurrence impact project objectives risk occurs matrix speciﬁes combinations probability impact allow individual project risks divided priority groups see organization assess risk separately objective eg cost time scope separate probability impact matrix alternatively may develop ways determine one overall priority level risk either combining assessments different objectives taking highest priority level regardless objective affected uuhierarchical charts risks categorized using two parameters probability impact matrix cannot used graphical representations required example bubble chart displays three dimensions data risk plotted disk bubble three parameters represented xaxis value yaxis value bubble size example bubble chart shown part guide,[],overall project risk derived individual risks perform quantitative risk analysis process based upon methodology correctly derives overall project risk individual risks risk analysis cost schedule example appropriate method monte carlo simulation decision tree appropriate method making decisions future events certain using probability impact risks combining effect derive overall project measure value cost methods risks speciﬁ ed level detailed tasks lineitem costs incorporated model project calculate effects objectives schedule cost entire project combining risks chapter perform quantitative risk analysis interrelationships risks quantitative risk analysis,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.5 Overall Project Risk Derived from Individual Risks
34,34,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.2,11.3 PERFORM QUALITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.3.2.7 Meetings,11.3.2,meetin gs undertake qualitative risk analysis project team may conduct specialized meeting often called risk workshop dedicated discussion identiﬁed individual project risks goals meeting include review previously identiﬁed risks assessment probability impacts possibly risk parameters categorization prioritization risk owner responsible planning appropriate risk response reporting progress managing risk allocated individual project risk part perform qualitative risk analysis process meeting may start reviewing conﬁrming probability impact scales used analysis meeting may also identify additional risks discussion recorded analysis use skilled facilitator increase effectiveness meeting able perf orm qualit ative risk naly sis ou tputs,[],document results perform qualitative risk analysis process perform qualitative risk analysis process adds structure list undifferentiated risks see identify risks chapter categories priority priorities usually based risks probability occurring potential impact speciﬁ c project objectives whole project identiﬁ ed risk assigned priority perhaps objective entire project information usually stored risk register easy use update new information risk register list prioritized risks posted project participants responsible analysis action improve project plan risks judged high priority segregated analysis response planning generally monitored frequently risks low priority project may placed watch list reviewed less often changes status chapter,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.6 Document the Results of the Perform Qualitative Risk Analysis Process
35,35,11.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS,11.3.3,11.3 PERFORM QUALITATIVE RISK ANALYSIS OUTPUTS,OUTPUTS,11.3.3.1 Project documents updates,11.3.3,project docum ents upda tes project documents may updated result carrying process include limited uuassumption log described section perform qualitative risk analysis process new assumptions may made new constraints may identiﬁed existing assumptions constraints may revisited changed assumption log updated new information uuissue log described section issue log updated capture new issues uncovered changes currently logged issues uurisk register described section risk register updated new information generated perform qualitative risk analysis process updates risk register may include assessments probability impacts individual project risk priority level risk score nominated risk owner risk urgency information risk categorization watch list lowpriority risks risks requiring analysis uurisk report described section risk report updated reﬂect important individual project risks usually highest probability impact well prioritized list identiﬁed risks project summary conclusion part guide perf orm quantit ative risk naly sis inpu ts,"['Section 4.1.3.2.', 'Section 4.3.3.3.', 'Section 11.2.3.1', 'Section 11.2.3.2']",document results perform qualitative risk analysis process perform qualitative risk analysis process adds structure list undifferentiated risks see identify risks chapter categories priority priorities usually based risks probability occurring potential impact speciﬁ c project objectives whole project identiﬁ ed risk assigned priority perhaps objective entire project information usually stored risk register easy use update new information risk register list prioritized risks posted project participants responsible analysis action improve project plan risks judged high priority segregated analysis response planning generally monitored frequently risks low priority project may placed watch list reviewed less often changes status chapter,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.6 Document the Results of the Perform Qualitative Risk Analysis Process
36,36,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.1,11.4 PERFORM QUANTITATIVE RISK ANALYSIS INPUTS,INPUTS,11.4.1.1 Project management plan,11.4.1,project managem ent plan described section project management plan components include limited uurisk management plan described section risk management plan speciﬁes whether quantitative risk analysis required project also details resources available analysis expected frequency analyses uuscope baseline described section scope baseline describes starting point effect individual project risks sources uncertainty evaluated uuschedule baseline described section schedule baseline describes starting point effect individual project risks sources uncertainty evaluated uucost baseline described section cost baseline describes starting point effect individual project risks sources uncertainty evaluated,"['Section 4.2.3.1.', 'Section 11.1.3.1', 'Section 5.4.3.1.', 'Section 6.5.3.1.', 'Section 7.3.3.1.']",documenting results perform quantitative risk analysis process contingency reserves calculated quantitative project cost schedule risk analysis incorporated respectively cost estimate schedule establish prudent target realistic expectation project contingency reserves may also established provide capture opportunities judged priorities project contingency reserve required exceeds time resources available changes project scope plan may result also results analysis may provide less urgency risk response see plan risk responses chapter depending probability achieving plans objectives amount contingency reserve required provide necessary level conﬁ dence results quantitative risk analysis recorded passed person andor group responsible project management within organization actions required make full use results chapter,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.4 Documenting the Results of the Perform Quantitative Risk Analysis Process
37,37,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.1,11.4 PERFORM QUANTITATIVE RISK ANALYSIS INPUTS,INPUTS,11.4.1.2 Project documents,11.4.1,project docum ents project documents considered inputs process include limited uuassumption log described section assumptions may form inputs quantitative risk analysis assessed posing risk project objectives effect constraints may also modeled quantitative risk analysis uubasis estimates described sections basis estimates used planning project may reﬂected variability modeled quantitative risk analysis process may include information estimates purpose classiﬁcation assumed accuracy methodology source uucost estimates described section cost estimates provide starting point cost variability evaluated uucost forecasts described section forecasts projects estimate complete etc estimate completion eac budget completion bac tocomplete performance index tcpi may compared results quantitative cost risk analysis determine conﬁdence level associated achieving targets uuduration estimates described section duration estimates provide starting point schedule variability evaluated uumilestone list described section signiﬁcant events project deﬁne schedule targets results quantitative schedule risk analysis compared order determine conﬁdence level associated achieving targetsuuresource requirements described section resource requirements provide starting point variability evaluated uurisk register described section risk register contains details individual project risks used input quantitative risk analysis uurisk report described section risk report describes sources overall project risk current overall project risk status uuschedule forecasts described section forecasts may compared results quantitative schedule risk analysis determine conﬁdence level associated achieving targets,"['Section 4.1.3.2.', 'Section 7.2.3.1.', 'Section 7.4.3.2.', 'Section 6.4.3.1.', 'Section 6.2.3.3.', 'Section 9.2.3.1.', 'Section 11.2.3.1', 'Section 11.2.3.2', 'Section 6.6.3.2.']",purpose objectives perform qualitative risk analysis process perform qualitative risk analysis process assesses evaluates characteristics individually identiﬁ ed project risks prioritizes risks based agreedupon characteristics assessing individual risks using qualitative risk analysis evaluates probability risk occur effect individual risk project objectives directly address overall risk project objectives results combined effect risks potential interactions however achieved use quantitative risk analysis techniques see chapter one step analysis categorize risks according sources causes several risks arise common source sometimes called root cause risk responses may effective focus addressing root cause identifying common effects groups risks allows identiﬁ cation areas greatest risk exposure eg project completion date budget particular deliverables scope facilitating risk response focus areas methods qualitative risk analysis applied list risks created updated identify risks process provide project management characteristics risks inﬂ uence positive negative achieving projects objectives risks assessed high priority either threaten enhance achievement project objectives important focus plan risk responses process may analyzed analysis overall project risk discussed perform quantitative risk analysis process critical success factors perform qualitative risk analysis process,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.1 Purpose and Objectives of the Perform Qualitative Risk Analysis Process
38,38,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.1,11.4 PERFORM QUANTITATIVE RISK ANALYSIS INPUTS,INPUTS,11.4.1.3 Enterprise environmental factors,11.4.1,enterpr ise environm ental factors enterprise environmental factors inﬂuence perform quantitative risk analysis process include limited uuindustry studies similar projects uupublished material including commercial risk databases checklists,[],collect analyze data assessment individual risks based information collected therefore data collection evaluation tools including interviews workshops references databases prior projects require management support attention important protect bias data gathering important relying expert judgment information prioritize risks probability impact speciﬁ c objectives,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.2 Collect and Analyze Data
39,39,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.1,11.4 PERFORM QUANTITATIVE RISK ANALYSIS INPUTS,INPUTS,11.4.1.4 Organizational process assets,11.4.1,organizational proce ss asse ts organizational process assets inﬂuence perform quantitative risk analysis process include information similar completed projects perf orm quantit ative risk naly sis ls tec hniques,[],tracking trigger conditions trigger conditions corresponding metrics deﬁ ned plan risk responses process tools required evaluate track conditions project baseline speciﬁ ed thresholds based actual status chosen provide information risks related deliverables performance well projectrelated features time cost tracking overall risk,CHAPTER 9  -  MONITOR AND CONTROL RISKS,9.3.2 Tracking Trigger Conditions
40,40,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.2,11.4 PERFORM QUANTITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.4.2.1 Expert judgment,11.4.2,exper judgment described section expertise considered individuals groups specialized knowledge training following topics uutranslating information individual project risks sources uncertainty numeric inputs quantitative risk analysis model uuselecting appropriate representation uncertainty model particular risks sources uncertainty uumodeling techniques appropriate context project uuidentifying tools would suitable selected modeling techniques uuinterpreting outputs quantitative risk analysis part guide,['Section 4.1.2.1.'],response selection set potential responses risks addressed established decisionsupport techniques may need applied select best possible subset responses selection process take account cost responses impact project objectives uncertainty outcomes possible secondary residual risks identify risks perform quantitative risk analysis plan risk responses processes may need applied resultant project management plan residual secondary risks would entail iterative approach continues individual risks deemed acceptable overall risk within predeﬁ ned threshold action planning,CHAPTER 8  -  PLAN RISK RESPONSES,8.4.2 Response Selection
41,41,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.2,11.4 PERFORM QUANTITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.4.2.2 Data gathering,11.4.2,data ga thering interviews see section may used generate inputs quantitative risk analysis drawing inputs include individual project risks sources uncertainty particularly useful information required experts interviewer promote environment trust conﬁdentiality interview encourage honest unbiased contributions,['Section 5.2.2.2)'],collect highquality information risks collection highquality information risks required often information available historic database gathered interviews workshops means using expert judgment data gathered individuals may subject reporting intentional bias occurs bias identiﬁ ed remedied possible different unbiased source information found used perform iterative qualitative risk analysis,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.3 Collect High-Quality Information about Risks
42,42,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.2,11.4 PERFORM QUANTITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.4.2.3 Interpersonal and team skills,11.4.2,int erpersonal team kills interpersonal team skills used process include limited facilitation see section skilled facilitator useful gathering input data dedicated risk workshop involving project team members stakeholders facilitated workshops improve effectiveness establishing clear understanding purpose workshop building consensus among participants ensuring continued focus task using creative approaches deal interpersonal conﬂict sources bias,['Section 4.1.2.3)'],conclusion principles project risk management described practice standard appropriately applied based speciﬁ cs project organizational environment project risk management provides beneﬁ ts implemented according good practice principles organizational commitment taking decisions performing actions open unbiased manner chapter,CHAPTER 1  -  INTRODUCTION,1.6 Conclusion
43,43,11.4,11.4 PERFORM QUANTITATIVE RISK ANALYSIS,11.4.2,11.4 PERFORM QUANTITATIVE RISK ANALYSIS Tools and Techniques,Tools and Techniques,11.4.2.4 Representations of uncertainty,11.4.2,representa tions unc ertainty quantita tive risk analysis requires inputs quantitative risk analysis model reﬂect individual project risks sources uncertainty duration cost resource requirement planned activity uncertain range possible values represented model probability distribution may take several forms commonly used triangular normal lognormal beta uniform discrete distributions care taken selecting appropriate probability distribution reﬂect range possible values planned activity individual project risks may covered probability distributions alternatively risks may included model probabilistic branches optional activities added model represent time andor cost impact risk occur chance activities actually occur particular simulation run matches risks probability branches useful risks might occur independently planned activity risks related example common cause logical dependency correlation used model indicate relationship sources uncertainty may also represented using branches describe alternative paths project,[],overall project risk derived individual risks perform quantitative risk analysis process based upon methodology correctly derives overall project risk individual risks risk analysis cost schedule example appropriate method monte carlo simulation decision tree appropriate method making decisions future events certain using probability impact risks combining effect derive overall project measure value cost methods risks speciﬁ ed level detailed tasks lineitem costs incorporated model project calculate effects objectives schedule cost entire project combining risks chapter perform quantitative risk analysis interrelationships risks quantitative risk analysis,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.5 Overall Project Risk Derived from Individual Risks
