,numChapter,Chapter,numSubChapter,subTitle,content,Ref
22,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3.1,4.3.1 Planning Sessions,"['4.3.1 Planning Sessions Planning sessions are recommended in order to build a common understanding of the project’s risk approach between project stakeholders and to gain agreement on the techniques to be used for managing risk. Elaboration of the risk management plan often serves to develop an effective means for the team to work together since a similar consultative team approach will be used in subsequent stages of the risk management process. The participants should include: the project manager, selected project team members and other stakeholders, members of the broader organization having responsibility for risk, and other subject matter experts or facilitators, as needed. At this point, the initial risk responsibilities, methodology, templates, terms, deﬁ nitions, time schedules, and cost budgets for the other Project Risk Management processes should be assigned and accepted. The speciﬁ cation for the tools that will be used in subsequent processes should include all parameters and other inputs required to ensure their applicability to the speciﬁ c project. These should be documented in the risk management plan, which, when formally approved, is the principal deliverable of the Plan Risk Management process.234 CHAPTER 4 − PLAN RISK MANAGEMENT 4.3.2 Templates']",[]
23,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.3.2,4.3.2 Templates,"['4.3.2 Templates In order to beneﬁ t from experience and existing best practice, risk management planning should take into account relevant existing templates for work products, such as risk status reports, risk breakdown structures or the risk register. A decision should be made as to which templates are relevant to the project, and these should then be adapted and included in the risk management plan. 4.4 Documenting the Results of the Plan Risk Management Process']",[]
24,4,CHAPTER 4  -  PLAN RISK MANAGEMENT,4.4 ,4.4 Documenting the Results of the Plan Risk Management Process,"['4.4 Documenting the Results of the Plan Risk Management Process The results of risk management planning are documented in the risk management plan. The plan serves to provide all project stakeholders with a common view of how the risk-related activities of the project will be handled, what has been agreed upon, and a description of the stakeholders’ involvement and responsibilities in these activities. An overview of the key areas of focus is given in Figure 4-1. Figure 4-1. Key Areas of Focus for the Plan Risk Management Process Depending upon the size and complexity of the project, some or all of the following elements will be present in a risk management plan. Introduction; • Project description; • Risk management methodology; • Risk management organization; • Roles, responsibilities, and authority; • Stakeholder risk tolerance; • Criteria for success; • Risk management tools and guidelines for use; • Thresholds and corresponding deﬁ nitions; • Templates; • Communications plan; • Strategy; and • Risk breakdown structure. •255 CHAPTER']","['Figure 4-1', 'Figure 4-1']"
25,5,CHAPTER 5  -  IDENTIFY RISKS,5.1 ,5.1 Purpose and Objectives of the Identify Risks Process,"['5.1 Purpose and Objectives of the Identify Risks Process A risk cannot be managed unless it is ﬁ rst identiﬁ ed. Consequently, after risk management planning has been completed, the ﬁ rst process in the iterative Project Risk Management process aims to identify all the knowable risks to project objectives. It is, however, impossible to identify all the risks at the outset of a project. Over time, the level of project risk exposure changes as a result of the decisions and actions taken previously in the project (internal change) and of externally imposed change. The purpose of risk identiﬁ cation is to identify risks to the maximum extent that is practicable. The fact that some risks are unknowable or emergent requires the Identify Risk process to be iterative, repeating the Identify Risks process to ﬁ nd new risks which have become knowable since the previous iteration of the process. When a risk is ﬁ rst identiﬁ ed, potential responses may also be identiﬁ ed at the same time. These should be recorded during the Identify Risks process and considered for immediate action if such action is appropriate. Where such responses are not implemented immediately, these should be considered during the Plan Risk Responses process. 5.2 Critical Success Factors for the Identify Risks Process']",[]
26,5,CHAPTER 5  -  IDENTIFY RISKS,5.2 ,5.2 Critical Success Factors for the Identify Risks Process,['5.2 Critical Success Factors for the Identify Risks Process The practices described in Sections 5.2.1 through 5.2.10 will maximize the value and effectiveness of the Identify Risks process and enhance the likelihood of identifying as many risks as practicable. 5.2.1 Early Identiﬁ cation'],[]
27,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.1,5.2.1 Early Identiﬁ cation,"['5.2.1 Early Identiﬁ cation Risk identiﬁ cation should be performed as early as possible in the project lifecycle, recognizing the paradox that uncertainty is high in the initial stages of a project so there is often less information on which to base the risk identiﬁ cation. Early risk identiﬁ cation enables key project decisions to take maximum account of risks inherent in the project, and may result in changes to the project strategy. It also maximizes the time available for development and implementation of risk responses, which enhances efﬁ ciency since responses taken early are often normally less costly than later ones.265 CHAPTER 5 − IDENTIFY RISKS 5.2.2 Iterative Identiﬁ cation']",[]
28,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.2,5.2.2 Iterative Identiﬁ cation,"['5.2.2 Iterative Identiﬁ cation Since not all risks can be identiﬁ ed at any given point in the project, it is essential that risk identiﬁ cation is repeated throughout the project life cycle. This should be done periodically, at a frequency determined during the Plan Risk Management process. Risk identiﬁ cation might also be repeated at key milestones in the project, or whenever there is signiﬁ cant change to the project or its operating environment. 5.2.3 Emergent Identiﬁ cation']",[]
29,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.3,5.2.3 Emergent Identiﬁ cation,"['5.2.3 Emergent Identiﬁ cation In addition to invoking the Identify Risks process as deﬁ ned in the project plan, the Project Risk Management process should permit risks to be identiﬁ ed at any time, not limited to formal risk identiﬁ cation events or regular reviews. 5.2.4 Comprehensive Identiﬁ cation']",[]
30,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.4,5.2.4 Comprehensive Identiﬁ cation,['5.2.4 Comprehensive Identiﬁ cation A broad range of sources of risk should be considered to ensure that as many uncertainties as possible that might affect objectives have been identiﬁ ed. 5.2.5 Explicit Identiﬁ cation of Opportunities'],[]
31,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.5,5.2.5 Explicit Identiﬁ cation of Opportunities,['5.2.5 Explicit Identiﬁ cation of Opportunities The Identify Risks process should ensure opportunities are properly considered. 5.2.6 Multiple Perspectives'],[]
32,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.6,5.2.6 Multiple Perspectives,['5.2.6 Multiple Perspectives The Identify Risks process should take input from a broad range of project stakeholders to ensure that all perspectives are represented and considered. Limiting risk identiﬁ cation to the immediate project team is unlikely to expose all knowable risks. 5.2.7 Risks Linked to Project Objectives'],[]
33,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.7,5.2.7 Risks Linked to Project Objectives,"['5.2.7 Risks Linked to Project Objectives Each identiﬁ ed project risk should relate to at least one project objective (time, cost, quality, scope, etc.), noting that the PMBOK ® Guide deﬁ nes risk as an uncertain event or condition that, if it occurs, has a positive or a negative effect on a project’s objectives. Consideration of each project objective during the Identify Risks process will assist in identifying risks, noting that some risks may affect more than one objective. 5.2.8 Complete Risk Statement']",[]
34,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.8,5.2.8 Complete Risk Statement,"['5.2.8 Complete Risk Statement Identiﬁ ed risks should be clearly and unambiguously described, so that they can be understood by those responsible for risk assessment and risk response planning. Single words or phrases such as “resources” or “logistics” are inadequate and do not properly communicate the nature of the risk. More detailed risk descriptions are required which explicitly state the uncertainty and its causes and effects.275 CHAPTER 5 − IDENTIFY RISKS 5.2.9 Ownership and Level of Detail']",[]
35,5,CHAPTER 5  -  IDENTIFY RISKS,5.2.9,5.2.9 Ownership and Level of Detail,"['5.2.9 Ownership and Level of Detail Risks can be identiﬁ ed at a number of levels of detail. A generalized or high-level description of risk can make it difﬁ cult to develop responses and assign ownership, while describing risks in a lot of detail can create a great deal of work. Each risk should be described at a level of detail at which it can be assigned to a single risk owner with clear responsibility and accountability for its management. Trigger conditions should also be identiﬁ ed where this is possible and appropriate. 5.2.10 Objectivity All human activities are susceptible to bias, especially when dealing with uncertainty. Both motivational biases, where someone is trying to bias the result in one direction or another, or cognitive biases, where biases occur as people are using their best judgment and applying heuristics, may occur. This should be explicitly recognized and addressed during the Identify Risks process. Sources of bias should be exposed wherever possible, and their effect on the risk process should be managed proactively. The aim is to minimize subjectivity, and allow open and honest identiﬁ cation of as many risks as possible to the project. 5.3 Tools and Techniques for the Identify Risks Process']",[]
36,5,CHAPTER 5  -  IDENTIFY RISKS,5.3 ,5.3 Tools and Techniques for the Identify Risks Process,"['5.3 Tools and Techniques for the Identify Risks Process A range of tools and techniques is available for risk identiﬁ cation. These fall into the following three categories, as illustrated in Figure 5-1: Figure 5-1. Three Perspectives of Risk Identification285 CHAPTER 5 − IDENTIFY RISKS 5.3.1 Historical Review']","['Figure 5-1', 'Figure 5-1']"
37,5,CHAPTER 5  -  IDENTIFY RISKS,5.3.1,5.3.1 Historical Review,"['5.3.1 Historical Review Historical reviews are based on what occurred in the past, either on this project, or other similar projects in the same organization, or comparable projects in other organizations. Historical review approaches rely on careful selection of comparable situations which are genuinely similar to the current project, and ﬁ ltering of data to ensure that only relevant previous risks are considered. In each case, the risks identiﬁ ed in the selected historical situation should be considered, asking whether they or similar risks might arise in this project. 5.3.2 Current Assessments']",[]
38,5,CHAPTER 5  -  IDENTIFY RISKS,5.3.2,5.3.2 Current Assessments,"['5.3.2 Current Assessments Current assessments rely on detailed consideration of the current project, analyzing its characteristics against given frameworks and models in order to expose areas of uncertainty. Unlike historical review approaches, current assessment techniques do not rely on outside reference points, but are based purely on examination of the project. 5.3.3 Creativity Techniques']",[]
39,5,CHAPTER 5  -  IDENTIFY RISKS,5.3.3,5.3.3 Creativity Techniques,"['5.3.3 Creativity Techniques A wide range of creativity techniques can be used for risk identiﬁ cation, which encourages project stakeholders to use their imagination to ﬁ nd risks which might affect the project. The outcomes or effectiveness of these techniques depend on the ability of participants to think creatively. These techniques can be used either singly or in groups, and employ varying degrees of structure. These techniques depend on the ability of participants to think creatively, and their success is enhanced by use of a skilled facilitator. Each category of risk identiﬁ cation technique has strengths and weaknesses, and no single technique can be expected to reveal all knowable risks. Consequently, the Identify Risks process for a particular project should use a combination of techniques, perhaps selecting one from each category. For example, a project may choose to use a risk identiﬁ cation checklist (historical review), together with assumptions analysis (current assessment) and brainstorming (creativity). Use of a risk breakdown structure which organizes the categories of potential risks on the project, a prompt list, or a set of generic list categories may assist in ensuring that as many sources of risk as practicable have been addressed, while recognizing that no such tools are complete nor can they replace original thinking.295 CHAPTER 5 − IDENTIFY RISKS Whichever risk identiﬁ cation techniques are used, it is important that identiﬁ ed risks are unambiguously described in order to ensure that the project risk process is focused on the actual risks and not distracted or diluted by non-risks. Use of structured risk descriptions can ensure clarity. Risk meta-language offers a useful way of distinguishing a risk from its cause(s) and effect(s), describing each risk using three-part statements in the form: “As a result of cause, risk may occur, which would lead to effect.” The relationship between cause, risk, and effect is shown in Figure 5-2. Figure 5-2. Cause, Risk, and Effect 5.4 Documenting the Results of the Identify Risks Process']","['Figure 5-2', 'Figure 5-2']"
40,5,CHAPTER 5  -  IDENTIFY RISKS,5.4 ,5.4 Documenting the Results of the Identify Risks Process,"['5.4 Documenting the Results of the Identify Risks Process The results from the Identify Risks process should be recorded in order to capture all relevant information currently available for each identiﬁ ed risk. The main output from the Identify Risks process is the risk register. This includes a properly structured risk description and the nominated risk owner for each risk, and may also include information on the causes and effects of the risk, trigger conditions, and preliminary responses.316 CHAPTER']",[]
41,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.1 ,6.1 Purpose and Objectives of the Perform Qualitative Risk Analysis Process,"['6.1 Purpose and Objectives of the Perform Qualitative Risk Analysis Process The Perform Qualitative Risk Analysis process assesses and evaluates characteristics of individually identiﬁ ed project risks and prioritizes risks based on agreed-upon characteristics. Assessing individual risks using qualitative risk analysis evaluates the probability that each risk will occur and the effect of each individual risk on the project objectives. As such it does not directly address the overall risk to project objectives that results from the combined effect of all risks and their potential interactions with each other. This can however be achieved through use of quantitative risk analysis techniques (see Chapter 7). One step in the analysis is to categorize risks according to their sources or causes. If several risks arise from a common source, sometimes called a root cause, risk responses may be more effective when they focus on addressing this root cause. Identifying common effects from groups of risks allows identiﬁ cation of the areas of greatest risk exposure (e.g. to the project completion date, the budget, or a particular deliverable’s scope), facilitating risk response focus in these areas. The methods of qualitative risk analysis are applied to the list of risks created or updated by the Identify Risks process to provide project management with the characteristics of the risks that have the most inﬂ uence (positive or negative) on achieving the project’s objectives. Risks that are assessed as high priority to either threaten or to enhance the achievement of project objectives will be an important focus in the Plan Risk Responses process. They may be further analyzed, such as in the analysis of the overall project risk that is discussed in Perform Quantitative Risk Analysis process. 6.2 Critical Success Factors for the Perform Qualitative Risk Analysis Process']",[]
42,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2 ,6.2 Critical Success Factors for the Perform Qualitative Risk Analysis Process,"['6.2 Critical Success Factors for the Perform Qualitative Risk Analysis Process Several factors that lead to successful qualitative risk analysis are described in Sections 6.2.1 through 6.2.4, and summarized in Figure 6-1. Agreement of the project stakeholders is a fundamental criterion and a common theme. The agreed-upon approach is the foundation of process credibility. Then, agreed-upon deﬁ nitions enable high-quality information to be collected. Finally, with these conditions in place, the process can be executed reliably, which contributes to the credibility of its outputs.326 CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS Figure 6 -1. Building Risk Analysis Credibility 6.2.1 Use Agreed-Upon Approach']",['Figure 6-1']
43,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.1,6.2.1 Use Agreed-Upon Approach,"['6.2.1 Use Agreed-Upon Approach The process is based on an agreed-upon approach to this assessment that is applied across all of the identiﬁ ed risks in any project. By the nature of project risk, all risks may be assessed according to probability of occurrence and impact on individual objectives should the risk occur. Other factors may be considered in determining the importance of a risk as follows: • Urgency (proximity). Risks requiring near term responses may be considered more urgent to address. Indicators of urgency can include the lead time necessary to execute a risk response and the clarity of symptoms and warning signs (also known as detectability) that may trigger the response. Manageability.• Some risks are not manageable and it would be a waste of resources to attempt to address them. The project team may examine these and decide to: Go forward, perhaps establishing a contingency reserve. ○ Stop or re-scope the project because these risks pose an unmanageable threat or an ○ opportunity that should not be missed with high probability and consequences. Inform the customer of the risks and ask for a decision from their point of view. ○ Impact external to the project.• A risk may increase in importance if it affects the enterprise beyond the project. 6.2.2 Use Agreed-Upon Deﬁ nitions of Risk Terms']",[]
44,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.2,6.2.2 Use Agreed-Upon Deﬁ nitions of Risk Terms,"['6.2.2 Use Agreed-Upon Deﬁ nitions of Risk Terms The risk assessment should be based on agreed-upon deﬁ nitions of important terms, and those deﬁ nitions should be used consistently when assessing each risk. The use of deﬁ nitions, for example, of levels of probability and of impact on objectives, assists the providers of the information in giving realistic assessments for each risk, and facilitates the communication of the results to management and other stakeholders.336 CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS 6.2.3 Collect High-Quality Information about Risks']",[]
45,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.3,6.2.3 Collect High-Quality Information about Risks,"['6.2.3 Collect High-Quality Information about Risks Collection of high-quality information about risks is required. Often this information is not available in any historic database and should be gathered by interviews, workshops, and other means using expert judgment. Data gathered from individuals may be subject to reporting or intentional bias. When this occurs, the bias should be identiﬁ ed and remedied where possible, or a different, unbiased source of information should be found and used. 6.2.4 Perform Iterative Qualitative Risk Analysis']",[]
46,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.2.4,6.2.4 Perform Iterative Qualitative Risk Analysis,"['6.2.4 Perform Iterative Qualitative Risk Analysis The success of qualitative risk analysis is enhanced if the process is used periodically throughout the project. It is impossible to know in advance all the risks that may occur in a project, therefore the Identify Risks and Perform Qualitative Analysis processes should be repeated periodically for individual risks. The frequency of this effort will be planned in the Plan Risk Management process, but may also depend on events within the project itself. 6.3 Tools and Techniques for the Perform Qualitative Risk Analysis Process']",[]
47,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3 ,6.3 Tools and Techniques for the Perform Qualitative Risk Analysis Process,['6.3 Tools and Techniques for the Perform Qualitative Risk Analysis Process The tools and techniques used for assessing individual risks will identify the risks that are important to the project’s success. This process is illustrated in Figure 6-2. Figure 6-2. The Perform Qualitative Risk Analysis Process346 CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS 6.3.1 Select Risk Characteristics that Deﬁ ne Risks’ Importance'],"['Figure 6-2', 'Figure 6-2']"
48,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.1,6.3.1 Select Risk Characteristics that Deﬁ ne Risks’ Importance,"['6.3.1 Select Risk Characteristics that Deﬁ ne Risks’ Importance Qualitative risk analysis tools provide ways to distinguish those risks that are important for response or further analysis from those that are less important. The criteria that make a risk of interest to management are agreed upon in advance and implemented in the tools used. Output from qualitative risk analysis tools includes a listing of risks in priority order or in priority groups (e.g., high, moderate, and low). The tools for qualitative risk analysis allow the organization or project stakeholders to specify those levels or combinations of risk characteristics that make a particular risk of interest to management. Most tools assess a risk’s importance from a combination of probability of occurrence and degree of impact on objectives. 6.3.2 Collect and Analyze Data']",[]
49,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.2,6.3.2 Collect and Analyze Data,"['6.3.2 Collect and Analyze Data Assessment of individual risks is based on information collected about them. Therefore, data collection and evaluation tools, including interviews, workshops, and references to databases of prior projects, require management support and attention. It is important to protect against bias in data gathering, which is important when relying on expert judgment for the information. 6.3.3 Prioritize Risks by Probability and Impact on Speciﬁ c Objectives']",[]
50,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.3,6.3.3 Prioritize Risks by Probability and Impact on Speciﬁ c Objectives,['6.3.3 Prioritize Risks by Probability and Impact on Speciﬁ c Objectives Some tools permit distinguishing a risk’s priority in terms of the affected objective. This capability provides a list of risks that are important for any speciﬁ c objective of interest to management. This is useful since it is common for risks to have uneven impacts on various project objectives. 6.3.4 Prioritize Risks by Probability and Impact on Overall Project'],[]
51,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.4,6.3.4 Prioritize Risks by Probability and Impact on Overall Project,"['6.3.4 Prioritize Risks by Probability and Impact on Overall Project There are reasons for constructing a measure of a speciﬁ c risk’s importance to the entire project as contrasted with its importance to speciﬁ c objectives. A common reason is for ease of communication with management and other stakeholders. When a single risk prioritization index is needed, the organization should be explicit about how that index is created. Usually the index reﬂ ects the organization’s preference among objectives. The technique for creating the overall risk priority measure should be documented in the Plan Risk Management process.356 CHAPTER 6 − PERFORM QUALITATIVE RISK ANALYSIS 6.3.5 Categorize Risk Causes']",[]
52,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.5,6.3.5 Categorize Risk Causes,"['6.3.5 Categorize Risk Causes Categorizing risks appropriately may lead to improved analysis of the probability and magnitude of project risk and to effective responses. Understanding the relationships between risks may provide a better understanding of the possibility and magnitude of project risk than if risks are only considered as separate and independent events. Identifying common root causes of a group of risks, for instance, may reveal both the magnitude of the risk event for the group as a whole along with effective strategies that might address several risks simultaneously. Alternatively, some risks may be linked with others in a causal chain, and understanding the chain of risks may lead to a better understanding of the implication of risk for the project. Identifying risks that can occur at the same time or using the same resources for recovery might provide a realistic picture of problems of risk mitigation using scarce resources. Combining the results of the Perform Qualitative Risk Analysis process with the risk breakdown structure (see Identify Risks, Chapter 5) can show clusters of priority risks arising from speciﬁ c sources. A combination of the risk analysis information with the work breakdown structure (WBS) can show which areas of the project exhibit the most risk. Assessing the high-priority risks’ impact on one objective, such as the schedule, may indicate which activities to address to reduce that objective’s uncertainty. All of these approaches can contribute to the realism and usefulness of the qualitative risk analysis. 6.3.6 Document the Results of the Perform Qualitative Risk Analysis Process']",[]
53,6,CHAPTER 6  -  PERFORM QUALITATIVE RISK ANALYSIS,6.3.6,6.3.6 Document the Results of the Perform Qualitative Risk Analysis Process,"['6.3.6 Document the Results of the Perform Qualitative Risk Analysis Process The Perform Qualitative Risk Analysis process adds structure to the list of undifferentiated risks (see Identify Risks, Chapter 5) into categories of priority. Priorities are usually based on the risk’s probability of occurring and its potential impact on speciﬁ c project objectives or on the whole project. Each identiﬁ ed risk is assigned a priority, perhaps by objective or for the entire project. This information is usually stored in the risk register which is easy to use and update with new information. The risk register list of prioritized risks is posted to the project participants who are responsible for further analysis or action to improve the project plan. Risks that are judged to have high priority are segregated for further analysis and response planning and are generally monitored frequently. Risks of low priority to the project may be placed on a watch list and are reviewed less often for changes in their status.377 CHAPTER']",[]
54,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.1 ,7.1 Purpose and Objectives of the Perform Quantitative Risk Analysis Process,"['7.1 Purpose and Objectives of the Perform Quantitative Risk Analysis Process The Perform Quantitative Risk Analysis process provides a numerical estimate of the overall effect of risk on the objectives of the project, based on current plans and information, when considering risks simultaneously. Results from this type of analysis can be used to evaluate the likelihood of success in achieving project objectives and to estimate contingency reserves, usually for time and cost that are appropriate to both the risks and the risk tolerance of project stakeholders. It is generally accepted that analyzing uncertainty in the project using quantitative techniques such as Monte Carlo simulation may provide more realism in the estimate of the overall project cost or schedule than a non-probabilistic approach which assumes that the activity durations or line-item cost estimates are deterministic. However it should be recognized that quantitative risk analysis is not always required or appropriate for all projects. For example, qualitative risk analysis may provide enough information for development of effective risk responses, especially for smaller projects. Therefore, during the Plan Risk Management process, the beneﬁ ts of quantitative risk analysis should be weighed against the effort required to ensure that the additional insights and value justify the additional effort. Partial risk analyses, such as qualitative risk analysis, aim at prioritizing individual risks viewed one at a time and therefore cannot produce measures of overall project risk when all risks are considered simultaneously. Calculating estimates of overall project risk is the focus of the Perform Quantitative Risk Analysis process. Speciﬁ c project risks are usually best understood and quantiﬁ ed at a detailed level such as the line-item cost or schedule activity level. By contrast, project objectives such as achievement of the project’s budget or the schedule are speciﬁ ed at a higher level, often at the level of the total project. An overall risk analysis, such as one that uses quantitative techniques, estimates the implication of all quantiﬁ ed risks on project objectives. The implementation of overall risk analysis using quantitative methods requires: Complete and accurate representation of the project objectives built up from individual project • elements. Examples of these representations include the project schedule or cost estimate. Identifying risks on individual project elements such as schedule activities or line-item costs at a • level of detail that lends itself to speciﬁ c assessment of individual risks. Including generic risks that have a broader effect than individual project elements. • Applying a quantitative method (such as Monte Carlo simulation or decision tree analysis) that incorporates • multiple risks simultaneously in determining overall impact on the overall project objective.387 CHAPTER 7 − PERFORM QUANTITATIVE RISK ANALYSIS Results of the quantitative analysis will be compared to the project plan (baseline or current) to give management an estimate of the overall project risk and will answer important questions such as: What is the probability of meeting the project’s objectives? • How much contingency reserve (e.g., reserves or buffers of time, resources, and cost) is needed to • provide the organization with the level of certainty it requires based upon its risk tolerance? What are those parts of the project, such as line-item costs or schedule activities, which contribute • the most risk when all risks are considered simultaneously? Which individual risks contribute the most to overall project risk? • Estimating overall project risk using quantitative methods helps distinguish those projects where quantiﬁ ed risks threaten objectives beyond the tolerance of the stakeholders, from those for which the objectives are within acceptable tolerances even when risk is considered. The former may be targeted for vigorous risk responses aimed at protecting those objectives most important to the stakeholders. A high-level comparison of quantitative and qualitative risk analysis processes is presented in Figure 7-1. Figure 7-1. Comparison of Qualitative and Quantitative Approaches 7.2 Critical Success Factors for the Perform Quantitative Risk Analysis Process']","['Figure 7-1', 'Figure 7-1']"
55,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2 ,7.2 Critical Success Factors for the Perform Quantitative Risk Analysis Process,['7.2 Critical Success Factors for the Perform Quantitative Risk Analysis Process Success in achieving the objectives of quantitative risk analysis depends explicitly on at least the factors described in Sections 7.2.1 through 7.2.6.397 CHAPTER 7 − PERFORM QUANTITATIVE RISK ANALYSIS 7.2.1 Prior Risk Identiﬁ cation and Qualitative Risk Analysis'],[]
56,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.1,7.2.1 Prior Risk Identiﬁ cation and Qualitative Risk Analysis,['7.2.1 Prior Risk Identiﬁ cation and Qualitative Risk Analysis The Perform Quantitative Risk Analysis process occurs after the Identify Risks and Perform Qualitative Risk Analysis processes have been completed. Reference to a prioritized list of identified risks ensures that the Perform Quantitative Risk Analysis process will consider all significant risks when analyzing their effects quantitatively. 7.2.2 Appropriate Project Model'],[]
57,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.2,7.2.2 Appropriate Project Model,"['7.2.2 Appropriate Project Model An appropriate model of the project should be used as the basis for quantitative risk analysis. Project models most frequently used in quantitative risk analysis include the project schedule (for time), line-item cost estimates (for cost), decision tree (for decisions in the face of uncertainty) and other total-project models. Quantitative risk analysis is especially sensitive to the completeness and correctness of the model of the project that is used. 7.2.3 Commitment to Collecting High Quality Risk Data']",[]
58,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.3,7.2.3 Commitment to Collecting High Quality Risk Data,"['7.2.3 Commitment to Collecting High Quality Risk Data Often high-quality data about risks are not available in any historic database and should be gathered by interviews, workshops, and other means using expert judgment of those present. Collection of risk data requires resources and time as well as management support. 7.2.4 Unbiased Data']",[]
59,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.4,7.2.4 Unbiased Data,"['7.2.4 Unbiased Data Success in gathering risk analysis data requires the ability to recognize when biases occur and combating that bias or developing other unbiased sources of the data. Bias in risk data can occur for many reasons, but two common sources of bias are cognitive bias and motivational bias. 7.2.5 Overall Project Risk Derived from Individual Risks']",[]
60,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.5,7.2.5 Overall Project Risk Derived from Individual Risks,"['7.2.5 Overall Project Risk Derived from Individual Risks The Perform Quantitative Risk Analysis process is based upon a methodology that correctly derives the overall project risk from the individual risks. In risk analysis of cost and schedule, for example, an appropriate method is Monte Carlo simulation. A decision tree is an appropriate method for making decisions when future events are not certain, using the probability and impact of all risks, and combining their effect to derive an overall project measure such as value or cost. In each of these methods, the risks are speciﬁ ed at the level of the detailed tasks or line-item costs and incorporated into the model of the project to calculate effects on objectives such as schedule or cost for the entire project, by combining those risks.407 CHAPTER 7 − PERFORM QUANTITATIVE RISK ANALYSIS 7.2.6 Interrelationships Between Risks in Quantitative Risk Analysis']",[]
61,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.2.6,7.2.6 Interrelationships Between Risks in Quantitative Risk Analysis,"['7.2.6 Interrelationships Between Risks in Quantitative Risk Analysis Attention should be given to the possibility that the individual risks in the project model are related to each other. For example, several risks may have a common root cause and therefore are likely to occur together. This possibility is sometimes addressed by correlating the risks that are related, ensuring that they generally occur together during the analysis. Another common way to represent the risks which occur together is by using the risk register listing of the risk or root cause and attaching it to several project elements such as schedule activities or cost elements. When a particular risk occurs, the affected elements will all experience the effect of that risk together. 7.3 Tools and Techniques for the Perform Quantitative Risk Analysis Process']",[]
62,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.3 ,7.3 Tools and Techniques for the Perform Quantitative Risk Analysis Process,"['7.3 Tools and Techniques for the Perform Quantitative Risk Analysis Process Tools and techniques used appropriately for quantitative risk analysis have several characteristics, as follows: 7.3.1 Comprehensive Risk Representation']",[]
63,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.3.1,7.3.1 Comprehensive Risk Representation,"['7.3.1 Comprehensive Risk Representation Risk models permit representation of many, if not all, of the risks that have impact on an objective simultaneously. They also permit the representation of both opportunities and threats to the project’s objectives. 7.3.2 Risk Impact Calculation']",[]
64,7,CHAPTER 7  -  PERFORM QUANTITATIVE RISK ANALYSIS,7.3.2,7.3.2 Risk Impact Calculation,"['7.3.2 Risk Impact Calculation Quantitative models facilitate the correct calculation of the effect of many risks, which are typically identiﬁ ed and quantiﬁ ed at a level of detail below the total project, on the project objectives, which are typically described at the level of the total project. 7.3.3 Quantitative Method Appropriate to Analyzing Uncertainty']",[]
